index,question_type,prompt_complexity,prompt_audience,data_source,question,model,embedding_model,response
q1-comp1-aud1-data1,1. Factual question with a specific answer,1. Google search-phrased,1. Professional developer,1. Minneapolis zoning code,"zoning district and built form overlay district for **2817 Pleasant Ave, Minneapolis, MN 55408** multi-family home, I'm a professional developer",gpt-5-mini,e5_large_recursive,"I don't know — the retrieved context lists possible primary zoning districts (UN1–UN3, RM1–RM3, CM1–CM4, etc.) and built form overlay districts (BFI1–BFI3, BFC3/4/6, BFT10) and explains that a property is subject to its primary zoning, built form overlay, and any overlays, but it does not state the specific zoning or built form overlay for 2817 Pleasant Ave. To get the exact designations, check the City of Minneapolis interactive zoning map or provide the parcel ID or the zoning plate for that address and I can interpret it."
q2-comp1-aud1-data1,2. Complex question asking to summarize language,1. Google search-phrased,1. Professional developer,1. Minneapolis zoning code,"summarize zoning ordinance for urban neighborhood 3 (UN3) zoning district in Minneapolis, MN",gpt-5-mini,e5_large_recursive,"UN3 is one of the City’s Urban Neighborhood primary zoning districts. The ordinance treats many common community uses as allowed in UN3 but with minimum site-area thresholds (examples from the code: child care centers 4,000 sq ft; community centers 5,000 sq ft; educational facilities 10,000 sq ft; parks and recreational facilities 20,000 sq ft). Residential buildings of four or more units are permitted on lots of record existing on the ordinance’s effective date provided yard and other dimensional requirements (other than lot area/width) are met. Floor‑area ratio and other built‑form controls for UN3 are set by the applicable Built Form Overlay (e.g., Interior 3 FARs shown in the code are 0.5–1.4 depending on use; Corridor and Transit overlays allow higher FARs such as 1.5, 2.0, 3.0, 5.0, etc.). The code also requires lot‑merger rules in the Shoreland Overlay and preserves rights for lots nonconforming only as to maximum lot area."
q3-comp1-aud1-data1,3. Complex question asking for recommendations,1. Google search-phrased,1. Professional developer,1. Minneapolis zoning code,"evaluate following zoning requirements for urban neighborhood 3 (UN3) zoning district in Minneapolis, MN for constructing a multi-family home

**Proposed property specifications**
- 1000 sq feet lot size
- 20 feet height 
- 5 dwellings in the buidling
- side and rear yard of 5 feet all around",gpt-5-mini,e5_large_recursive,"Based on the retrieved UN3 excerpts: a building with four or more units is permitted on a lot of record existing on the ordinance’s effective date provided all yard dimensions and other district requirements (except lot area or lot width) are met — so a 5‑unit building can be allowed on a small lot only if it was a lot of record at the effective date and it meets the district’s yard/other standards. The code excerpt does not list UN3 yard setbacks, height limits, or built‑form/FAR limits, so I cannot confirm whether 20 ft height or 5 ft side/rear yards would comply. Note also: only one principal residential structure is allowed per zoning lot (so one building with 5 units is fine) and the large‑site outdoor children’s play‑area requirement (20,000 sq ft threshold) would not apply to a 1,000 sq ft lot. To determine full compliance you must confirm the lot’s lot‑of‑record status, the applicable built‑form overlay and the specific UN3 setback and height standards (not provided in the retrieved context)."
q5-comp1-aud1-data1,5. Complex question distilling information/pre-check,1. Google search-phrased,1. Professional developer,1. Minneapolis zoning code,"zoning requirement checklist for multi-family home construction in urban neighborhood 3 (UN3) zoning district Minneapolis, MN 

",gpt-5-mini,e5_large_recursive,"Based on the retrieved UN3 excerpts, checklist for a multi‑family project (developer):

- Confirm property is zoned UN3 and identify the applicable Built Form Overlay (BFI/BFC/BFT) — FAR, height, setback and built‑form rules are set by that overlay (not all numeric standards for UN3 are in the retrieved excerpts).  
- Confirm the lot was a lot of record on the ordinance effective date if proposing 4+ dwelling units (residential buildings with ≥4 units are permitted on such lots provided yard dimensions and other district requirements except lot area/width are met).  
- Verify yard/setback and height requirements for UN3 + applicable built‑form overlay (retrieved context does not include the specific numeric setbacks or height limits).  
- Check lot‑merger rules if parcel lies in the SH Shoreland Overlay (contiguous lots under same ownership that are nonconforming as to width/area must be combined).  
- Confirm nonconforming-use/structure compliance: landscaping, screening, curbing and general performance standards must be met (zoning admin may require partial compliance if full compliance is infeasible).  
- Confirm only one principal residential structure per zoning lot (distance between principal buildings in a common lot development must be ≥10 ft).  
- Outdoor children’s play area: for multiple‑family developments (4+ units) there is a play‑area requirement only for sites ≥20,000 sq ft in UN2/UN3 and meeting other location criteria (specs: min 50 sq ft per large unit, 300–2,000 sq ft total; secure and separated from parking).  
- Determine site plan review requirements and required points for the new principal structure (site plan review rules referenced; numeric thresholds not in excerpts).  
- If pursuing affordable‑housing bonus or related incentives, confirm inclusionary housing and bonus standards (on‑site affordable units required for bonus; min 20 units to qualify for the affordable housing bonus; other bonus conditions cover construction types, enclosed parking, EV charging, and climate resiliency standards).  
- Check other applicable overlays or use‑specific minimum site area rules (e.g., child care, community center, parks have minimum site areas listed for UN3 in excerpts).

Note: the retrieved context omits numeric UN3 setbacks, height maximums, and many built‑form numeric standards — you must confirm those specific dimensional and FAR limits from the City of Minneapolis zoning map and the full UN3/built‑form code sections before final design."
q1-comp1-aud2-data1,1. Factual question with a specific answer,1. Google search-phrased,2. Single-family homeowner,1. Minneapolis zoning code,"my zoning info for single family home I own  in a residential area at **2712 Colfax Ave South, Minneapolis, MN 55408**",gpt-5-mini,e5_large_recursive,"I don’t have the parcel’s specific zoning district for 2712 Colfax Ave S in the materials you provided, so I can’t state the exact zone. From the retrieved Minneapolis code excerpts applicable to single‑family homes, however:

- Single‑family dwellings (and state‑credentialed care for ≤6 people) are shown with a 0.5 standard (appears as the applicable FAR/density value in the excerpts).  
- Home‑occupation rules: materials for growing crops must be kept to the rear of the principal structure or inside an accessory building; one non‑illuminated flat wall identification sign up to 1 sq ft (two on a corner lot) is allowed; no on‑site retail sales except accessory to services; no visible home occupation from the public right‑of‑way except limited plant sales; hours open to the public limited to 8:00 a.m.–8:00 p.m.; more than five customers/clients per day may be deemed excessive; deliveries limited to single rear‑axle straight trucks or smaller between 8:00 a.m.–8:00 p.m.; no non‑residential equipment/machinery; and no home‑occupation noise audible beyond the property.  
- The code references overlay and built‑form overlays (which may also apply), but the specific overlay for your lot was not provided.

If you want the exact zoning district and all rules that apply to your address, provide the zoning map/plate or I can tell you what additional information to request from the City to confirm the parcel’s zone."
q2-comp1-aud2-data1,2. Complex question asking to summarize language,1. Google search-phrased,2. Single-family homeowner,1. Minneapolis zoning code,"summary zoning requirements for urban neighborhood 2 (UN2) zoning district, Minneapolis,  MN to build accessory dwelling unit (ADU) for single-family home.",gpt-5-mini,e5_large_recursive,"From the excerpts you provided there are ADU standards that would apply in UN2, but the retrieved material does not show any additional UN2‑specific ADU exceptions or requirements—so I’m summarizing the city’s general ADU rules found in your excerpts.

- Internal (in‑house) ADU: generally limited to 800 sq ft (can exceed 800 sq ft only if the portion of the principal residence containing the ADU existed on Jan 1, 2015); in no case may the internal ADU floor area exceed the first‑floor area of the principal residence. The entire internal ADU must be on one level; it may not create new entrances facing the public street; any stair to an above‑ground internal ADU must be enclosed or entirely at the rear. If the ADU is not a separate dwelling under the State Building Code, an owner must occupy one dwelling unit on the lot as their primary residence. Prior to permit issuance the owner must record a covenant with Hennepin County restricting use consistent with the ADU rules (the city will release the covenant if the unit later becomes a separate dwelling under the State Building Code).

- Detached ADU: height limited to 21 feet (unless a variance). Gross floor area may not exceed 1,300 sq ft or 16% of lot area, whichever is greater, but in no case exceed 1,600 sq ft or the gross floor area of the principal residence, whichever is less. The combined footprint of the detached ADU, other detached accessory structures, and any attached vehicle‑parking structures may not exceed 800 sq ft or 10% of the lot area, whichever is greater (connected elements such as decks, overhangs, stairs count toward this). Minimum interior side yard for a detached ADU is 3 ft (no reduction where vehicle access doors face the interior side lot line); minimum rear yard may be reduced to 3 ft except where vehicle access doors face the rear lot line.

If you need setbacks, parking, overlay or built‑form rules specific to UN2 or to your parcel (2712 Colfax Ave S), that information was not in the retrieved excerpts — I don’t know those specifics from the provided context."
q3-comp1-aud2-data1,3. Complex question asking for recommendations,1. Google search-phrased,2. Single-family homeowner,1. Minneapolis zoning code,"evaluate following zoning requirements for urban neighborhood 2 (UN2) zoning district, Minneapolis, MN for constructing an accessory dwelling unit (ADU) for single-family home as the owner

**Proposed property specifications**
- 1000 sq feet lot size
- 20 feet height 
-  side and rear yard of 5 feet all around",gpt-5-mini,e5_large_recursive,"Based on the ADU standards in the provided Minneapolis code excerpts that apply in UN2:

- Height: Detached ADUs are limited to 21 ft (unless a variance) — your proposed 20 ft would comply.  
- Size: For a 1,000 sq ft lot the gross floor area cap for a detached ADU is 1,300 sq ft (the ordinance says 1,300 sq ft or 16% of lot area, whichever is greater). However the combined footprint of all detached accessory structures (including decks, stairs, overhangs, parking structures) may not exceed 800 sq ft (the ordinance caps combined footprint at 800 sq ft or 10% of lot area, whichever is greater) — so footprint is effectively limited to 800 sq ft on a 1,000 sq ft lot.  
- Setbacks/separation: Minimum interior side and reduced rear yard may be 3 ft; your 5 ft side and rear setbacks meet that. But a detached ADU must be at least 10 ft from the habitable portion of the principal structure. Also note a detached ADU may not be located within 5 ft of a rear lot line that coincides with the side lot line of an adjacent property in an urban neighborhood/residential mixed‑use district, and no setback reductions are allowed where vehicle access doors face the side/rear lot line.  
- Other requirements: Primary exterior materials, minimum window area on facades facing an alley/street, and other building‑code requirements apply. Internal (in‑house) ADUs have different limits (generally 800 sq ft unless the portion existed as of 1/1/2015), must be on one level, cannot add new street‑facing entrances, and the owner must record an owner‑occupancy covenant prior to permit issuance.

I don’t have parcel‑specific overlay, built‑form, parking, or site‑plan details in the retrieved excerpts, so I can’t confirm any additional UN2 or site‑specific restrictions that might apply to 2712 Colfax Ave S."
q5-comp1-aud2-data1,5. Complex question distilling information/pre-check,1. Google search-phrased,2. Single-family homeowner,1. Minneapolis zoning code,"zoning requirement checklist for single-family home construction in urban neighborhood 2 (UN2) zoning district,  Minneapolis, MN 

",gpt-5-mini,e5_large_recursive,"From the provided UN2 excerpts, here’s a concise checklist of zoning items you should confirm when building a single‑family home in the Urban Neighborhood 2 (UN2) district (note: several common items — minimum lot area/width, principal‑structure height, exact setbacks, parking counts, impervious/lot coverage, and overlay/built‑form requirements — were not included in the retrieved material, so you’ll need the full code or parcel zoning plate for those):

- Use allowed: single‑family dwellings are listed as an allowed use in UN districts.  
- ADU rules (if adding an accessory dwelling): internal ADU generally limited to 800 sq ft (may exceed 800 sq ft only if that portion of the house existed 1/1/2015); internal ADU must be on one level, cannot add new street‑facing entrances, and owner must occupy one dwelling and record an owner‑occupancy covenant prior to permit. Detached ADU: max height 21 ft; gross floor area limited by a formula in the code (1,300 sq ft or 16% of lot area, whichever is greater, but never to exceed 1,600 sq ft or the principal residence); combined footprint of detached accessory buildings/attached parking/decks capped at 800 sq ft (or 10% of lot area, whichever is greater); minimum interior side and reduced rear yards may be 3 ft; detached ADU must be at least 10 ft from the habitable portion of the principal structure; no setback reductions where vehicle access doors face the lot line.  
- Building code & site plan: comply with state and city building code requirements (eg. egress, fire separation, storage) and any site‑plan review triggers (site plan review applies for 20+ new units).  
- Materials and façade: detached ADUs must meet exterior material and window requirements for façades facing alley/street (and other aesthetic/built‑form standards may apply).  
- Recording and occupancy: owner‑occupancy covenant required for many ADUs until unit meets State Building Code as a separate dwelling.  
- Overlays & special districts: check for built‑form overlays, shoreland or other overlays and any lot‑merger requirements that can change allowable development.  
- Parking/other site requirements: excerpts show single‑family is listed with a numeric value (0.5) in a table, but the table heading and metric aren’t in the excerpts — confirm required off‑street parking, bicycle parking, landscaping, and curb/screening rules in the full zoning code.

If you want, I can summarize the missing specifics (min lot area/width, principal building height, required setbacks, parking counts, lot coverage, and any overlay rules) if you upload the applicable zoning map/plate or allow me to retrieve the full UN2 section."
q1-comp2-aud1-data1,1. Factual question with a specific answer,2. Simply phrased prompt,1. Professional developer,1. Minneapolis zoning code,"How is this multi family home in a residential and institutional area zoned (provide the zoning  district and built form overlay district)? **2817 Pleasant Ave, Minneapolis, MN 55408**",gpt-5-mini,e5_large_recursive,"I don't know — the retrieved context contains general zoning district and built-form overlay information but does not include the specific zoning assignment for 2817 Pleasant Ave. To get the zoning district and built-form overlay for that address, please check the City of Minneapolis Zoning Map / property information portal or provide the parcel's zoning map extract."
q2-comp2-aud1-data1,2. Complex question asking to summarize language,2. Simply phrased prompt,1. Professional developer,1. Minneapolis zoning code,"What are the zoning requirements for urban neighborhood 3 (UN3) zoning district in Minneapolis, MN according to the ordinance?",gpt-5-mini,e5_large_recursive,"UN3 is one of the City’s Urban Neighborhood zoning districts (listed in Article I). From the retrieved ordinance excerpts: floor‑area ratios (FAR) applicable to UN3 depend on the built‑form overlay—e.g., for Interior 3 (BFI3) in UN/RM districts the FARs are 0.5 for single‑family and small licensed care (≤6), 0.6 for two‑family, 0.7 for three‑family, and 1.4 for all other uses; Corridor‑3 overlays list FAR ~1.5 (UN/RM) (other districts differ). Minimum site‑area requirements shown for UN3 include: child care centers 4,000 sq ft; community centers 5,000 sq ft; educational facilities 10,000 sq ft; parks/public open space and recreational facilities 20,000 sq ft; community gardens none. The retrieved context does not include other UN3 standards (e.g., height, setbacks, permitted uses lists), so I can’t provide those from the materials supplied."
